Carimbo de data/hora,,Qual é a sua idade?,Qual país você reside?,Qual é a sua afiliação?,Qual é o seu nível de educação?,Qual é a sua principal ocupação?,Qual é o seu gênero?,Qual é a sua experiência profissional na Academia?,Qual é a sua experiência profissional na Indústria?,Qual é a sua experiencia com modelos estáticos?,Qual é a sua experiência com modelos executáveis?,"Quando a CAPTCHA falhar, o usuário será capaz de postar seu comentário?",Quão confiante você está sobre sua resposta?,Qual serviço irá publicar os comentários?,Quão confiante você está sobre sua resposta?,Você sentiu alguma dificuldade com o modelo?,"Você consegue, mentalmente, executar/depurar o modelo?","Você sentiu alguma dificuldade? Por favor, conte-nos.",O que acontece se o método saveOrUpdate() lançar uma exceção?,Quão confiante você está sobre sua resposta?,O método close() será chamado se qualquer exceção for lançada?,Quão confiante você está sobre sua resposta?,Você sentiu alguma dificuldade para entender o modelo?,"Você consegue, mentalmente, executar/depurar o modelo?","Você sentiu alguma dificuldade? Por favor, conte-nos!","Na sua opinião, quais foram os pontos fortes sobre o uso de modelos executáveis para representar os casos?","Na sua opinião, quais foram os pontos fracos sobre o uso de modelos executáveis para representar os casos?",O que poderia ser acrescentado para a percepção visual dos modelos executáveis para melhorar e/ou enriquecer informações úteis para um engenheiro de software? ,Quais oportunidades de aplicação você consegue vislumbrar para o uso de modelos executáveis em seus projetos de engenharia de software?,Você sentiu alguma dificuldade ou problema neste survey?
13/11/2019 20:20:48,Eu concordo,33,Brasil,IFGoiano,Estudante de Doutorado,Pesquisador Acadêmico,Masculino,5 anos a 10 anos,5 anos a 10 anos,Eu faço uso de vez em quando,Eu nunca usei antes,Eu não sei,5,<<service>> : PluckService,2,3,5,Dificuldade em inferir a função executada em cada componente. Acho essa proposta bastante interessante para ensino de tecnologias (ex web e mobile).,Tentará executar o comando rollback(),2,Eu não sei,5,2,2,Acho que falta estar imerso no contexto do desenvolvimento do software apresentado. Mas acho que o modelo ajuda na compreensão sim.,O fato de serem gráficos e explorar o raciocínio do programador e do estudante de programação. Penso que para situações mais complexas sejam úteis.,Falta de compreensão do software por não estar imerso no seu desenvolvimento.,Incluir a questão da hierarquia e aninhamento de componentes/classes.,"Ensino de programação e implementação de software.
","A dificuldade existe na necessidade de construir mentalmente um modelo que represente o software (classes, comunicação). Talvez realizar a pesquisa com programadores e envolvendo componentes que estão desenvolvendo em seus respectivos projetos reduziria essa dificuldade. "
13/11/2019 20:38:05,Eu concordo,37,Brasil,UNICAMP/IC,Doutorado,Pesquisador Acadêmico,Masculino,5 anos a 10 anos,1 ano a 5 anos,Eu uso em todos os projetos,Eu uso frequentemente,Eu não sei,1,Eu não sei,1,1,1,Está faltando uma explicação do significado do modelo,Tentará executar o comando rollback(),5,Não,5,2,1,Veja resposta anterior,Seria interessante a possibilidade de executar interativamente os modelos,Falta uma explicação do significado dos modelos,Talvez exceções podem ser representadas com outra cor,Verificação de interação entre componentes. Verificação de mecanismos de tolerância a falhas.,Nunca foi explicado o significado do modelo (o seu metamodelo)
13/11/2019 22:35:30,Eu concordo,32,Brasil,UFABC,Doutorado,Pesquisador Acadêmico,Masculino,5 anos a 10 anos,5 anos a 10 anos,Eu uso em todos os projetos,Eu uso raramente,Não,4,<<service>> : PluckService,4,2,4,As terminologias adotadas. Executei algumas vezes pra compreender a sequência e a terminologia adotada pelas mensagens e componentes. ,Tentará executar o comando rollback(),4,Sim,4,4,4,"Mesma dificuldade do outro caso. Nesta, me atentei as cores e fiquei em dúvida sobre a diferença (e.g., cinza e azul claro). Também, em algumas movimentações fica dificil compreender qual componente fez o disparo. ","Caso melhore a visualização, acredito que será muito útil para o debug de sistemas, bem como para encontrar gargalos no processamento.",Visualização,Linhas de sequência ,Debug de programas,Não
14/11/2019 15:20:50,Eu concordo,32,Brasil,UFSJ,Doutorado,Pesquisador Acadêmico,Feminino,10 anos a 15 anos,1 ano a 5 anos,Eu uso frequentemente,Eu nunca usei antes,Eu não sei,3,:window,1,2,1,"Sim, não entendi onde pode ocorrer a falha do CAPTCHA",Tentará executar o comando rollback(),4,Eu não sei,3,2,4,,Apresenta a sequência de execução ,Com o modelo apresentado não foi fácil compreender quais métodos estavam sendo executados,Métodos executados,Ensino; Verificação e teste de software,Não
14/11/2019 16:04:52,Eu concordo,34,Brasil,UNIRIO,Estudante de Mestrado,Pesquisador Acadêmico,Feminino,5 anos a 10 anos,1 ano a 5 anos,Eu uso em todos os projetos,Eu nunca usei antes,Eu não sei,4,<<service>> : PluckService,2,3,2,"Como não tenho experiência com simulação tive dificuldades de compreender o contexto e consequentemente o modelo apresentado. Não me pareceu intuitivo. Não entendi bem do que trata o cenário descrito: ""O cenário do primeiro caso mostra como usuários que comentam em algum artigo são enviados ao Pluck usando várias tecnologias AJAX."". Porém eu não sei o quanto isto influencia. De cara eu não consegui imaginar como seria o cenário real de usuários comentando artigos. Mas como falei, talvez por não ter experiência com simulação e não entender o cenário descrito tive dificuldade!",Tentará executar o comando rollback(),2,Eu não sei,4,3,3,Este cenário foi melhor explicado se comparado ao primeiro.,,,,,
17/11/2019 16:44:40,Eu concordo,29,Brasil,UFG,Estudante de Mestrado,"Profissional Não-Acadêmico (ex.: Governo, Industrial, etc.)",Masculino,10 anos a 15 anos,10 anos a 15 anos,Eu uso frequentemente,Eu nunca usei antes,Eu não sei,3,<<service>> : PluckService,4,3,4,,Tentará executar o comando rollback(),4,Sim,3,4,4,,Os elementos que compõem a parte gráfica são bem intuitivos e a forma dinâmica ajuda a entender mais do comportamento do que os diagramas convencionais.,"O nome das mensagens e ordenação dos elementos gráficos, por não ser convencional, apresenta uma curva inicial que pode ser impeditiva.","Um stacktrace ou um inline (como nas IDE) afim de não empilharmos as invocações só de cabeça. Legal também um inspector pra entender os valores dentro das mensagens e até mesmo uma label mais intuitiva pros ""casos de teste""/simulação, com no framework Spock ou JUnit 5","Design e projeto de novos componentes, principalmente usando DDD e walking skelegton.",Não
20/11/2019 07:35:49,Eu concordo,31,Brasil,UFMA,Doutorado,Pesquisador Acadêmico,Masculino,10 anos a 15 anos,1 ano a 5 anos,Eu uso em todos os projetos,Eu uso raramente,Eu não sei,5,<<service>> : PluckService,3,1,1,"O modelo não apresenta as possibilidades de comunicação entre os serviços: por exemplo, sem o vídeo mostrando de qual serviço para sai para qual serviço chega. O modelo poderia representar em forma de setas (em cinza claro, ou algo do tipo).",Tentará executar o comando commit(),4,Sim,3,2,1,"O mesmo problema da situação anterior. Adicionalmente, não está claro na simulação o que significa o S0, S1...",Mostra possíveis situações de como o software pode se comportar em tempo de execução,A falta de detalhamento dos elementos envolvidos nos modelos executáveis. A falta de uma padronização.,"Já comentei nas páginas anteriores. Mostrar o caminho\rastro (path) de possibilidades de comunicação entre os elementos da simulação. Todavia, precisa mostrar isso de forma que a representação não fique ""poluída"" ",Vejo muita aplicação na área de inspeção e testes. ,Precisa representar melhor os elementos da simulação e todas as suas informações. Mesmo que seja em um documento a parte.
20/11/2019 10:39:30,Eu concordo,32,Brazil,UFGD,Doutorado,Pesquisador Acadêmico,Feminino,1 ano a 5 anos,Nenhuma,Eu uso raramente,Eu nunca usei antes,Não,3,<<service>> : PluckService,1,2,1,,Tentará executar o comando rollback(),4,Sim,2,2,3,,O modelo é intuitivo e próximo a execução real.,Acompanhar e sequenciar as etapas.,A marcação do progresso (número do passo que está sendo executado) mesmo que de maneira periférica no modelo.,"Uso em conjunto com os demais modelos estáticos, acrescentado valor ao projeto.",Não.
20/11/2019 13:16:42,Eu concordo,29,brasil,ufg,Estudante de Graduação,"Profissional Não-Acadêmico (ex.: Governo, Industrial, etc.)",Masculino,15 anos a 20 anos,5 anos a 10 anos,Eu uso raramente,Eu nunca usei antes,SIm,3,:window,3,2,2,,Tentará executar o comando commit(),5,Sim,3,3,2,,Facilita o entendimento,De início não entendi quem eram os métodos,Uma pequena legenda me ajudaria,,
20/11/2019 15:12:04,Eu concordo,32,Brasil,Universidade Federal de Goiás,Estudante de Graduação,CLT ,Masculino,1 ano a 5 anos,1 ano a 5 anos,Eu uso raramente,Eu nunca usei antes,Não,5,<<service>> : PluckService,5,4,4,"O que seria S0, S1 e S2 ?",Tentará executar o comando rollback(),5,Não,5,4,5,Sobre o método close penso que somente se for fechar a conexão,Conseguir visualizar e organizar mentalmente o processo,Identificar o o proposito de cada funcionalidade,Separar melhor visualmente por cores ,Casos de testes ,Não
