Carimbo de data/hora,,What is your affiliation?,What is your age?,In what country do you live?,What is your education level?,What is your main occupation?,What is your gender?,What is your professional experience in academy?,What is your professional experience in industry?,What is your experience with static models?,What is your experience with executable models?,"When a CAPTCHA check fails, will the user be able to post his/her comments?",How confident are you about your answer?,Which service will publish the comments?,How confident are you about your answer?,Do you feel any difficulty to understand the model?,Can you mentally execute/debug the model?,Have you felt any difficult? Please tell us.,What happens when saveOrUpdate() rises a exception?,How confident are you about your answer?,Does close() method is called when any exception occurs?,How confident are you about your answer?,Do you feel any difficulty to understand the model?,Can you mentally execute/debug the model?,Have you felt any difficult? Please tell us!,"In your opinion, what were the strengths of using executable models to represent the cases?","In your opinion, what were the weaknesses on the use of executable models to represent the cases?",What could be added to the visual perception of the executable models to improve and/or enrich useful information for a software engineer?,What application opportunities do you see for using executable models in your software engineering projects?,Did you feel any difficulty or problem in this survey?
13/11/2019 20:35:07,I agree,Pennsylvania State University,37,Canada,PhD,Academy Research,Male,15 years to 20 years,15 years to 20 years,I use them frequently,I have never used them before,No,4,<<javascript>> :Comments,2,3,3,,It will try to execute rollback() command,4,Yes,4,4,3,,Visually able to understand the sequence of events. It can be used to rationalize on certain qualities (e.g. security and performance); if such qualities are of high importance.,"Judging only from the two videos; It wasn't clear at the beginning on what is meant by ""outXXX"" methods moving from one object to another. I made the assumption that such a method is being called from the ""source object"" as it is being implemented in the ""target"" object. In addition, to be able to understand fully the model, a static representation with the full set of associations will be required. ",Explanatory Narration ! ,It can be useful argue on particular qualities. It can ,No.
13/11/2019 22:19:50,I agree,Edith Cowan University Australia,35,Australia,PhD Student,Academy Research,Male,1 year to 5 years,1 year to 5 years,I use them frequently,I seldom use them,No,4,<<service>> DWRService,4,4,3,Flow could be improved.,It will try to execute commit() command,5,Yes,4,3,3,The terms used in questions are somewhat different used in simulations.,It provides designers an interactive and dynamic view of the system execution.,In this particular context clear flow and objects names involved could be further elaborated. ,The nodes are there but edges are missing. ,"It provides clear picture of the objects interaction, their order and possible input output between components interactions dynamically. ",Lots of terms i.e. objects names used are confusing. Moreover simulation could be explicitly designed. 
18/01/2020 22:34:10,I agree,"University of Sydney, Australia",54,Australia,PhD,Academic research + MBSE Consulting,Male,10 years to 15 years,more than 20 years,I seldom use them,I use them once in a while,,,,,,,,,,,,,,,,,,"I believe that the current focus on UML/SysML et al. is introducing too much complexity. An executable model could be an interpreter running the model. I typically do this with Python and more recently ES6(JavaScript). Once the model and its interpretation proceeds satisfactorily, then we switch from interpreter to a generator. The resulting artefact must compile cleanly and be runnable within the required framework without any editing of the generated sources.  This step often appears to be difficult, but it can be greatly simplified by handcrafting 2 or 3 examples and then generalising from those.

One of the founders of JetBrains (I forget who) suggested that any reasonable class hierarchy is in effect the DSL  for the application. Taking a step back the classes provide the executable semantics for the DSL.","I couldn't watch the videos and thus I can't comment directly. BUT ... for ""real executable models"" they should have been interactive / animated WebApps, not video."
07/02/2020 14:44:18,I agree,Innopolis University,21,Russia,Undergraduate Student,"Non-Academic Professional (e.g. Government, Industry, etc)",Female,1 year to 5 years,1 year to 5 years,I seldom use them,I have never used them before,No,2,<<service>> DWRService,2,3,2,I did not understand what modules do ,It will try to execute rollback() command,4,Yes,4,3,2,,It is a great visual way to display module interaction,"maybe I don’t really understand these technologies, so it is hard to understand for me. ",,easier to introduce new teammates,Everything is ok 
11/02/2020 18:01:47,I agree,Innopolis University,20,Russian Federation,Undergraduate Student,Student Only,Male,1 year to 5 years,None,I seldom use them,I have never used them before,I don't know,5,<<service>> : PluckService,5,4,2,"If to refer to the algorithm steps, it is easy. Otherwise, it is hard to understand. I think, this is due to the number of steps - it is to many to handle in mind.",It will try to execute rollback() command,5,Yes,5,1,1,It is even more complex than the previous model.,"I think, it is more easy to create than dozens of sequential images representing the algorithm.","It is easier to look at static pictures for me. Even if to make screenshots from this video where steps are represented sequentially, it would be much better to understand and refer. Or what? If I want to refer, should I rewatch the video making pauses? Personally, I cannot find this approach efficient enough to me.","The animation is as bad as it could be, I suppose. So, definitely, the animation should be improved. After that something should be done to show exception or error. It is hard to understand without color. And may be some lines or step number, but make it such that there is not so many elements on the screen.",I will use pictures if needed,No
29/02/2020 10:57:07,I agree,ArcTouch,26,Brasil,Master's Degree,"Non-Academic Professional (e.g. Government, Industry, etc)",Male,less than 1 year,1 year to 5 years,I use them once in a while,I have never used them before,I don't know,3,<<service>> : PluckService,3,3,2,Not much description of the services,It will try to execute rollback() command,4,Yes,3,2,2,,You kind of can see the execution flow,If you don't know much about the technologies it still hard to understand,Show in red when the first error was triggered and propagate it back as red,Maybe for a sensitive software that can't have erros like medical or military.,Not much
11/03/2020 16:51:38,I agree,Universidad de Sevilla,27,Spain,PhD Student,Academy Research,Male,1 year to 5 years,1 year to 5 years,I use them frequently,I seldom use them,No,3,<<service>> : PluckService,5,3,3,Probably a sequence diagram would be better than the video to understand the flow,It will try to execute rollback() command,5,Yes,4,3,4,Some of the labels at left are outside of the video,It may reduce space when presenting such data for management ,The lack of details and some vanishing lines to better follow the trace,Some tags or lines to help understand the flow,For dashboard debugs,No
23/03/2020 09:22:10,I agree,University of Stuttgart,43,Germany,PhD,Academy Research,Male,15 years to 20 years,1 year to 5 years,I use them once in a while,I seldom use them,I don't know,1,I don't know,1,1,1,"I do not know the used language/metamodel. Hence, any statements would just be guessing.",I don't know,1,I don't know,1,1,1,"Still, no idea what this model is about to show. Why not use sequence diagrams? or MSC?","Where those ""executable models""? I did not see some.",Maybe the questions were not introduced properly?,Lines for commuincation pathes? The use of a standard notation like component diagrams?,No,"Yes, the used language is nowhere introduced. Hence, I think the questions were useless."
23/03/2020 09:28:32,I agree,Reliable Software System Group - University Stuttgart,30,Germany,PhD Student,Academy Research,Male,1 year to 5 years,1 year to 5 years,I use them in every project,I use them frequently,No,3,<<javascript>> :Comments,2,1,1,,It will try to execute rollback() command,5,No,4,1,1,,"can not answer this question, due to lack of further background information. What is the purpose of the model? ","can not answer this question, due to lack of further background information. What is the purpose of the model? ","use common representation like UML notation, legend, color encoding, and give more background information ","can not answer this question, due to lack of further background information. What is the purpose of the model? ","missing background story, information, and introduction"
01/04/2020 04:08:26,I agree,IRISA,40,France,PhD,Academy Research,Male,10 years to 15 years,None,I use them frequently,I seldom use them,I don't know,2,<<javascript>> :Comments,2,2,1,"Well... An activity diagram with swim lanes or a sequence diagram is clearer IMHO to have a a global overview of the process. At least, it allows to skip directly to the scenario under consideration, and to (mentally only) move forward and backward through the scenario, as everything is in sight.",It will try to execute rollback() command,2,Yes,4,3,2,Here again: I prefer to have a global view of the process.,"The scenarios given as examples are rather simple. I am not sure executable models bring that much in this case. But maybe it is more helpful to illustrate more complex scenarios, for which activity diagrams or sequence diagrams are hardly readable.",They do not provide global overview. Skipping straight to the interesting part of the scenario is not possible. Moving back-and-forth in the chronology of events is a lacking feature. It lacks information about traceability of consequent messages (which is hidden in components).,Partly answered in the weaknesses.,"I don""t know",
